Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"09.11.2021";"09.11.";0.879539126;-1.97643324;3.911477866;5.887911106;NaN;NaN;NaN;0.059292725;-0.009364131;0;-0.013481142;-0.010354151;-0.021567991;-0.009534827;-0.009450013
"24.11.2021";"24.11.";0.979970217;-2.193067502;4.125401282;6.318468783;NaN;NaN;NaN;0;-0.000523647;-0.008902099;0.109856457;0;0;0;0
"25.11.2021";"25.11.";0.970621376;-1.826446489;3.96763245;5.794078939;NaN;NaN;NaN;0;0;0;-0.002544468;0;-0.006804266;0;0
"09.12.2021";"09.12.";0.654710579;-2.23826809;3.522933264;5.761201355;NaN;NaN;NaN;0;-0.211549547;-0.039166891;0.006416904;-0.076602244;-0.119868999;0.04069959;0.084160544
"17.12.2021";"17.12.";0.694251459;-2.164986466;3.594577659;5.759564125;NaN;NaN;NaN;0;0;0.101463602;-0.061922714;0;0;0;0
"07.01.2022";"07.01.";1.280553493;-1.41167536;4.102821326;5.514496687;NaN;NaN;NaN;0;0.578326568;0;-0.032299287;-0.0060618;0.093483969;-0.097597467;0.050449958
"25.01.2022";"25.01.";1.608629703;-0.976718365;4.042581864;5.019300229;NaN;NaN;NaN;0;-0.031126197;0.281816199;0.077386332;0;0;0;0
"09.02.2022";"09.02.";2.064725805;-0.644491829;4.561571275;5.206063103;NaN;NaN;NaN;0.076347804;0.014028883;0;0.120964897;-0.013205185;0.097520665;0.109678577;0.050760264
"22.02.2022";"22.02.";2.411240522;-0.014799686;4.935226967;4.950026653;NaN;NaN;NaN;0;0.002103157;0.232983598;0.111427557;0;0;0;0
"08.03.2022";"08.03.";2.276288116;0.061458635;4.434697503;4.373238868;NaN;NaN;NaN;0;0.254152006;0;0.040672647;0.113910788;-0.344333227;-0.076321438;-0.056689481
"25.03.2022";"25.03.";0.743555454;-1.48082738;2.74527226;4.22609964;NaN;NaN;NaN;0;0.041658437;-1.600983088;0.026592109;0;0;0;0
"07.04.2022";"07.04.";0.755063082;-1.242392072;2.665165331;3.907557403;NaN;NaN;NaN;0;-0.017037363;0;-0.052511216;0.003909577;0.090667231;-0.049211606;0.035688906
"25.04.2022";"25.04.";0.769677715;-1.452403961;2.777841268;4.230245229;0.19774;0.235405;NaN;0;-0.000100957;0.063807913;-0.049092756;0;0;0;0
