Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.02.2025;07.02.;0.284798709;-2.54488504;2.984478706;5.529363745;NaN;NaN;NaN;-0.007913531;0.01523625;0;-0.00091986;-0.004499424;0.004035694;0.006909118;0.042422452
24.02.2025;24.02.;0.503757468;-2.132963801;3.113149634;5.246113435;NaN;NaN;NaN;0;-0.005783916;0.230584738;-0.005841942;0;0;0;0
25.02.2025;25.02.;0.515183504;-2.07315408;3.368351816;5.441505896;NaN;NaN;NaN;0;0;0;0.00900008;0;0.002426234;0;0
10.03.2025;10.03.;0.434839055;-2.140732004;3.213579962;5.354311966;NaN;NaN;NaN;0;-0.073083962;0;0.014884332;-0.037184425;0.004335177;0.083659772;-0.072955299
25.03.2025;25.03.;0.496561548;-2.264441986;3.041096776;5.305538762;NaN;NaN;NaN;0;-0.045834033;0.045963485;0.061593156;0;0;0;0
07.04.2025;07.04.;0.318067429;-2.222590693;2.83016684;5.052757532;NaN;NaN;NaN;0;-0.050221048;0;0.004230891;-0.043299721;0.022753206;-0.126425647;0.014468196
24.04.2025;24.04.;-0.423840559;-2.774510851;1.919420122;4.693930974;NaN;NaN;NaN;0;-0.010839461;-0.712902799;-0.018166153;0;0;0;0
08.05.2025;08.05.;-0.045148469;-2.269446263;2.108304368;4.377750631;NaN;NaN;NaN;0.016480167;0.063052799;0;0.072369667;0.044547369;0.044732584;0.024008761;0.113500742
22.05.2025;22.05.;0.241926875;-1.935304414;2.278690948;4.213995362;NaN;NaN;NaN;0;-0.011819927;0.245569889;0.053325412;0;0;0;0
23.05.2025;23.05.;0.2695712;-1.728521584;2.357704835;4.086226418;NaN;NaN;NaN;0;0;0;0.004510897;0;0.023133055;0;0
06.06.2025;06.06.;0.028721274;-1.763640314;1.8273498;3.590990114;NaN;NaN;NaN;0;-0.117706734;0;-0.017283547;-0.028122519;-0.012995798;0.089418599;-0.154159871
24.06.2025;24.06.;0.11458698;-1.446075309;1.831075509;3.277150818;NaN;NaN;NaN;0;0.070208222;0.017600477;-0.001942975;0;0;0;0
07.07.2025;07.07.;-0.176738201;-1.833910392;1.418813845;3.252724238;NaN;NaN;NaN;0;-0.189820397;0;0.021435927;0.02511132;-0.085387115;-0.046032963;-0.016632426
25.07.2025;25.07.;-0.2206517;-1.85184649;1.428637908;3.280484398;-0.076329;-0.276691;NaN;0;-0.004851959;0.008119065;0.00623211;0;-0.053412695;0;0
