Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
09.02.2022;09.02.;-0.020547096;-3.117715939;3.093154509;6.210870448;NaN;NaN;NaN;-0.022096459;-0.00046983;0;-0.054533672;-0.005618007;-0.019430977;0.014374885;-0.009944703
22.02.2022;22.02.;0.416304761;-2.603624674;3.383387383;5.987012057;NaN;NaN;NaN;0;-0.005826064;0.440085012;0.002592861;0;0;0;0
08.03.2022;08.03.;0.302544497;-2.682290317;3.332244888;6.014535206;NaN;NaN;NaN;0;-0.12525333;0;0.024931747;-0.046009707;0.136085285;0.030228407;-0.144369496
25.03.2022;25.03.;-0.683948598;-3.764787612;2.786503257;6.55129087;NaN;NaN;NaN;0;-0.042160852;-0.834115294;-0.110216555;0;0;0;0
07.04.2022;07.04.;-0.773426392;-3.625604083;2.11426591;5.739869993;NaN;NaN;NaN;0;-0.078270199;0;0.012854697;0.013164625;0.065711943;-0.129939982;0.027001574
25.04.2022;25.04.;0.099654992;-2.534739874;2.835265891;5.370005765;NaN;NaN;NaN;0;0.00054492;0.785564316;0.086971787;0;0;0;0
06.05.2022;06.05.;0.302702493;-2.352321621;3.039848197;5.392169818;NaN;NaN;NaN;0.07397403;0.01554043;0;-0.319331032;0.011033922;0.154239532;0.073425026;0.194165356
23.05.2022;23.05.;0.464586099;-1.844684737;2.88447332;4.729158057;NaN;NaN;NaN;0;-0.002993913;-0.042527573;0.207406086;0;0;0;0
08.06.2022;08.06.;0.92820296;-1.172252177;3.088366901;4.260619078;NaN;NaN;NaN;0;-0.160037948;0;0.363193219;-0.025565379;0.35696168;-0.100502956;0.023556302
24.06.2022;24.06.;0.598509593;-1.366741302;2.836065538;4.20280684;NaN;NaN;NaN;0;0.001012437;-0.259704258;-0.071000297;0;0;0;0
07.07.2022;07.07.;0.508790555;-1.513275812;2.578804744;4.092080556;NaN;NaN;NaN;0;0.047342796;0;0.089779791;-0.001248952;-0.097878792;-0.079593957;-0.048120454
25.07.2022;25.07.;0.527602546;-1.449055967;2.378126551;3.827182518;-0.037268;0.139729856;NaN;0;-0.003602374;-0.060722539;0.083136448;0;0;0;0
