Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"07.11.2024";"07.11.";0.049990636;-2.712273649;2.662705255;5.374978904;NaN;NaN;NaN;0.013096064;0.019924923;0;0.002389904;-0.003626254;-0.016643748;-0.003025453;-0.017680756
"22.11.2024";"22.11.";0.107144863;-2.636816411;2.692499742;5.329316153;NaN;NaN;NaN;0;0.000588214;0.055969426;0.000596427;0;0;0;0
"25.11.2024";"25.11.";-0.017898729;-2.696748593;2.575420118;5.272168711;NaN;NaN;NaN;0;0;-0.148451171;0.023407589;0;0;0;0
"06.12.2024";"06.12.";0.053792472;-2.455506467;2.699583179;5.155089646;NaN;NaN;NaN;0;0.167671826;0;-0.00856425;0.047563539;-0.007551965;-0.006546964;-0.120880929
"17.12.2024";"17.12.";-0.249590361;-2.77879257;2.447992813;5.226785383;NaN;NaN;NaN;0;0.002914571;-0.281679546;-0.062646402;0;0.038028882;0;0
"09.01.2025";"09.01.";0.277550858;-2.141949366;2.517717639;4.659667005;NaN;NaN;NaN;0;0.270931908;0.014780409;-0.002653304;0.106296276;-0.023383228;0.038393403;0.122775464
"27.01.2025";"27.01.";0.101970227;-2.034450262;2.334206365;4.368656627;NaN;NaN;NaN;0;0.02555407;-0.175494503;-0.01774499;0;0.013793486;0;0
"07.02.2025";"07.02.";0.037893425;-2.193520168;2.184308116;4.377828284;NaN;NaN;NaN;0.031193759;-0.006729532;0;0.005740499;-0.03682986;0.038821703;0.114007266;-0.210280753
"24.02.2025";"24.02.";0.311858649;-1.87284142;2.242539594;4.115381015;NaN;NaN;NaN;0;-0.006951252;0.248959399;0.031956967;0;0;0;0
"25.02.2025";"25.02.";0.315641307;-1.742559723;2.410222986;4.152782709;NaN;NaN;NaN;0;0;0;-0.023029586;0;0.026812273;0;0
"10.03.2025";"10.03.";0.332099825;-1.446365273;2.048434792;3.494800065;NaN;NaN;NaN;0;0.195060122;0;0.020868876;0.109740589;-0.01196682;-0.245207358;-0.052036837
"25.03.2025";"25.03.";0.553424326;-1.152129154;2.235593378;3.387722532;NaN;NaN;NaN;0;0.11919183;0.096379969;0.005752031;0;0;0;0
"07.04.2025";"07.04.";0.459869475;-1.024013771;2.122394063;3.146407835;NaN;NaN;NaN;0;-0.030704902;0;-0.045068423;-0.026738664;0.069281545;-0.07717012;0.016845989
"24.04.2025";"24.04.";0.549046619;-1.110877742;2.138556514;3.249434255;0.210627094;0.41168;NaN;0;-0.000495828;0.034835393;0.054837628;0;0;0;0
