Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
09.11.2020;09.11.;0.973118638;-1.050366152;2.687639663;3.738005814;NaN;NaN;NaN;0.020992614;-0.03668103;0;0.017254447;-0.01580977;-0.005004955;-0.006820448;0.048662515
24.11.2020;24.11.;0.823146398;-1.049231064;2.573768224;3.622999288;NaN;NaN;NaN;0;0.000148858;-0.147354297;-0.002766736;0;0;0;0
09.12.2020;09.12.;1.424582441;-0.497630837;3.149510476;3.647141313;NaN;NaN;NaN;0;0.224630423;0.078818833;0.010522942;0.093708442;0.03815773;0.162728659;-0.007131402
18.12.2020;18.12.;1.635256207;-0.356696089;3.359537009;3.716233099;NaN;NaN;NaN;0;-0.00563552;0.16777334;0.048536009;0;0;0;0
08.01.2021;08.01.;2.20229412;0.32372287;3.837903982;3.514181112;NaN;NaN;NaN;0;0.280407847;0;-0.050328508;0.11954367;0.077650921;0.192228238;-0.052463989
25.01.2021;25.01.;1.476549502;-0.644461368;3.383997598;4.028458966;NaN;NaN;NaN;0;-0.057556645;-0.036534926;-0.631652689;0;0;0;0
09.02.2021;09.02.;1.368053025;-0.461218521;3.323648158;3.784866678;NaN;NaN;NaN;0.000490035;-0.030476847;0;0.05965537;-0.00954773;-0.041337352;-0.024520754;-0.060861246
22.02.2021;22.02.;1.587772222;-0.178180606;3.522113381;3.700293987;NaN;NaN;NaN;0;-0.018862947;0.218071546;0.020510655;0;0;0;0
09.03.2021;09.03.;1.297172517;-0.439481125;3.17140037;3.610881496;NaN;NaN;NaN;0;0.029382079;0;0.018659731;-0.100711753;-0.117438571;-0.074296834;-0.046192608
26.03.2021;26.03.;1.814080897;0.106752564;3.63611333;3.529360766;NaN;NaN;NaN;0;-0.007741553;0.353597348;0.017821615;0;0.15322806;0;0
09.04.2021;09.04.;1.251092437;-0.375332095;2.950029452;3.325361547;NaN;NaN;NaN;0;-0.254715196;0;-0.26180537;-0.113543726;-0.023962099;0.02729078;0.063747403
26.04.2021;26.04.;0.733249926;-1.258051276;2.506600196;3.764651473;-1.690985;-1.806937868;NaN;0;0;0.053254695;-0.598523702;0;0.027426512;0;0
