Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"23.08.2022";"23.08.";0.756992647;-2.371178962;3.970154136;6.341333098;NaN;NaN;NaN;-0.021316539;0.243747103;-0.111447322;0.129597851;0.035588104;0.027880167;0.050297076;0.03306691
"25.08.2022";"25.08.";0.351373122;-2.79130711;3.40598999;6.197297099;NaN;NaN;NaN;0;0;-0.199483779;-0.206135561;0;0;0;0
"07.09.2022";"07.09.";0.365392066;-2.553013887;3.161689506;5.714703393;NaN;NaN;NaN;0;-0.098541188;0;0.010854474;-0.032388565;0.008877924;0.000470381;0.124745977
"26.09.2022";"26.09.";0.113821257;-2.874552757;2.936004656;5.810557413;NaN;NaN;NaN;0;-0.000158441;-0.18324595;-0.083762785;0;0.015596515;0;0
"07.10.2022";"07.10.";0.186375046;-2.578606371;2.801014935;5.379621306;NaN;NaN;NaN;0;0.136275588;0;-0.049933201;0.012965903;0.083299544;-0.098616892;-0.0114371
"25.10.2022";"25.10.";-0.074263273;-2.542312836;2.337467303;4.87978014;NaN;NaN;NaN;0;0.002876605;-0.371362701;0.107847768;0;0;0;0
"07.11.2022";"07.11.";-0.046057779;-2.541687611;2.30887849;4.850566101;NaN;NaN;NaN;-0.092997707;0.100197422;0;0.054622865;0.029260316;0.062247424;-0.022803947;-0.102320592
"24.11.2022";"24.11.";-0.171295226;-2.518849644;2.191913139;4.710762783;NaN;NaN;NaN;0;0.000213152;0.016889863;-0.142340404;0;0;0;0
"25.11.2022";"25.11.";-0.077536039;-2.481983264;2.11667529;4.598658554;NaN;NaN;NaN;0;0;0.054616788;-0.021296195;0;0;0;0
"07.12.2022";"07.12.";0.251316528;-1.836048622;2.221407424;4.057456046;NaN;NaN;NaN;0;0.195806698;0.060170011;0.023305172;0.104519484;-0.044438873;0.047675616;0.035573647
"19.12.2022";"19.12.";0.46251113;-1.470461725;2.232686437;3.703148161;NaN;NaN;NaN;0;-0.000178995;0.126035002;0.085338598;0;0;0;0
"09.01.2023";"09.01.";0.151056745;-1.763883731;1.938247888;3.702131619;NaN;NaN;NaN;0;-0.009895163;0;-0.004766312;-0.000959645;-0.19792679;-0.082735169;-0.015171591
"25.01.2023";"25.01.";0.172349259;-1.632763996;1.986171008;3.618935005;-0.240808;-0.435306;NaN;0;0.004029826;-0.000184613;0.017447081;0;0;0;0
