Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"25.05.2020";"25.05.";0.053455268;-2.10639442;1.934075112;4.040469532;NaN;NaN;NaN;-0.039753152;-0.005385577;0.481717612;0.055713209;0;0;0;0
"09.06.2020";"09.06.";-2.817416253;-7.227943521;1.139353587;8.367297109;NaN;NaN;NaN;0;-1.417962231;0;-0.021259191;-0.464175324;-0.342190314;-0.583476719;-0.041807508
"24.06.2020";"24.06.";-1.804773929;-4.932775979;1.12976416;6.062540139;NaN;NaN;NaN;0;-0.061619713;1.226209146;-0.029457572;0;-0.122490012;0;0
"09.07.2020";"09.07.";0.481652978;-3.398569176;3.998643816;7.397212991;NaN;NaN;NaN;0;0.802377984;0;0.049350983;0.298016619;0.191438397;0.686052567;0.259189887
"27.07.2020";"27.07.";0.965587017;-2.619603444;3.850170884;6.469774328;NaN;NaN;NaN;0;0.045549724;0.446626101;-0.035232966;0;0.026991549;0;0
"07.08.2020";"07.08.";5.751222869;3.134561671;8.488826008;5.354264337;NaN;NaN;NaN;0.144749204;1.903871411;0;-1.003236525;0.793207829;0.761563234;2.085556466;0.099923456
"25.08.2020";"25.08.";4.924327867;2.112898631;7.17114716;5.058248529;NaN;NaN;NaN;0;0.157162325;-0.267455691;-0.716600783;0;0;0;0
"08.09.2020";"08.09.";6.405694238;3.781402948;8.391611098;4.61020815;NaN;NaN;NaN;0;0.567759105;0;0.055000143;0.120447381;0.45648942;0.210517572;0.00878271
"24.09.2020";"24.09.";6.730424299;4.081783324;9.255977892;5.174194568;NaN;NaN;NaN;0;0.036924954;-0.025192246;0.312997751;0;0;0;0
"08.10.2020";"08.10.";6.01935595;3.51971756;8.332220075;4.812502514;NaN;NaN;NaN;0;-0.337171107;0;0.038319953;-0.185240986;-0.091518383;-0.129849929;-0.005607783
"26.10.2020";"26.10.";5.925148693;3.488265896;8.55179811;5.063532214;8.237406;8.480304;NaN;0;0.007600785;-0.027673973;0.011781822;0;-0.085916363;0;0
