Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.11.2022;07.11.;0.316528685;-2.804716316;3.391081217;6.195797533;NaN;NaN;NaN;0.028990064;0.038354;0;-0.019383942;0.021738011;0.001172809;-0.01027756;0.026743178
24.11.2022;24.11.;0.403134868;-2.548007476;3.269158875;5.81716635;NaN;NaN;NaN;0;-0.000619283;0.048058256;0.039167186;0;0;0;0
25.11.2022;25.11.;0.636539909;-2.241311832;3.517511167;5.758822999;NaN;NaN;NaN;0;0;0.149744494;0.007696328;0;0;0;0
07.12.2022;07.12.;0.597446468;-2.31637301;3.343114407;5.659487417;NaN;NaN;NaN;0;-0.07823255;0.217620752;0.008022441;-0.036153976;0.017707364;-0.016585486;0.081933034
19.12.2022;19.12.;0.622236885;-1.989287988;3.399301037;5.388589025;NaN;NaN;NaN;0;7.98E-05;0.065086009;-0.040375631;0;0;0;0
09.01.2023;09.01.;0.659387676;-1.827627923;3.105711155;4.933339078;NaN;NaN;NaN;0;0.259799491;0;0.00194739;-0.002921642;0.008828981;-0.219170167;-0.011333097
25.01.2023;25.01.;0.699044098;-1.546120392;3.175210879;4.721331271;NaN;NaN;NaN;0;-0.026279924;0.032620114;0.033316394;0;0;0;0
07.02.2023;07.02.;0.72995744;-1.592576466;3.348870616;4.941447081;NaN;NaN;NaN;0.054290992;-0.049541103;0.184566131;0.091675605;-0.080009052;-0.304485138;0.050013881;0.08440191
22.02.2023;22.02.;0.67619619;-1.52518122;3.076311798;4.601493017;NaN;NaN;NaN;0;-0.046505509;0.009082474;-0.016337826;0;0;0;0
08.03.2023;08.03.;0.538736913;-1.37460022;2.34768219;3.72228241;NaN;NaN;NaN;0;-0.054436411;0;0.012141981;0.185469056;-0.200793272;-0.069234946;-0.035584555
27.03.2023;27.03.;0.563354966;-1.289587233;2.358809991;3.648397225;NaN;NaN;NaN;0;0.017745088;0.012628015;0.103523631;0;-0.1092788;0;0
06.04.2023;06.04.;0.680533407;-1.005039632;2.425906915;3.430946547;NaN;NaN;NaN;0;0.044217312;0;-0.037394185;0.085684115;0.065437629;0.040616917;-0.081383131
24.04.2023;24.04.;0.726473052;-1.231772656;2.354661899;3.586434556;0.046559;-0.335233047;NaN;0;0.003018119;0.021865203;0.021056628;0;0;0;0
