Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.08.2025;07.08.;0.40151316;-2.449595769;3.21738397;5.66697974;NaN;NaN;;0.001403943;0.006697689;0;0.028271201;-0.003833195;-0.003519977;-4.38E-05;0.020976284
22.08.2025;22.08.;0.381088323;-2.487233033;3.175976545;5.663209578;NaN;NaN;;0;0.002496983;-0.019764977;-0.003156844;0;0;0;0
25.08.2025;25.08.;0.2959816;-2.351396888;3.181982938;5.533379826;NaN;NaN;;0;0;-0.087362893;0.002256157;0;0;0;0
08.09.2025;08.09.;0.353533451;-2.342776604;2.863680704;5.206457308;NaN;NaN;;0;-0.043118279;0;-0.003995035;-0.023015451;0.004544564;0.041818027;0.081317956
24.09.2025;24.09.;;;;;;;;;;;;;;;
08.10.2025;08.10.;;;;;;;;;;;;;;;
27.10.2025;27.10.;;;;;;;;;;;;;;;
06.11.2025;06.11.;;;;;;;;;;;;;;;
24.11.2025;24.11.;;;;;;;;;;;;;;;
08.12.2025;08.12.;;;;;;;;;;;;;;;
17.12.2025;17.12.;;;;;;;;;;;;;;;
09.01.2026;09.01.;;;;;;;;;;;;;;;
