Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"07.02.2020";"07.02.";0.089133144;-1.083528307;1.251718285;2.335246593;NaN;NaN;NaN;0;-0.05499293;0;0.019871117;-0.073242675;-0.016947611;-0.004139719;0.093266516
"24.02.2020";"24.02.";0.169454296;-1.017441709;1.362073602;2.37951531;NaN;NaN;NaN;-0.006440818;0;0.063960048;0.021026481;0;0;0;0
"25.02.2020";"25.02.";0.173812175;-1.051785277;1.387273163;2.43905844;NaN;NaN;NaN;0;0.003939701;0;0.000418179;0;0;0;0
"09.03.2020";"09.03.";0.715575236;-0.399902309;1.772773561;2.17267587;NaN;NaN;NaN;0;0.219562738;0;0.05747796;0.134861375;0.002003975;0.116562545;0.011294468
"25.03.2020";"25.03.";0.069284705;-0.963134307;1.211168316;2.174302623;NaN;NaN;NaN;0;0.008530504;-0.983317761;0.328496725;0;0;0;0
"09.04.2020";"09.04.";-0.282968063;-1.422356366;0.735624576;2.157980941;NaN;NaN;NaN;0;0.166993588;0;-0.09735199;0.047425743;-0.478216539;0.022074913;-0.013178484
"24.04.2020";"24.04.";-0.209825855;-1.220926469;0.858724303;2.079650772;NaN;NaN;NaN;0;-0.002527209;-0.339835848;0.389739159;0;0;0;0
"08.05.2020";"08.05.";-1.939545732;-3.359499199;-0.560746166;2.798753033;-2.221807319;-2.221807319;NaN;0;-0.882236589;0;-0.016629306;-0.247903286;-0.229871631;-0.362712212;0.009633147
