Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.08.2023;07.08.;0.00871178893676744;-2.953809;3.051107;6.004916;NaN;NaN;NaN;0.00901128346132581;0.0181306917268931;0;-0.031480043177678;-0.00326767260802869;0.0010908393099935;0.0118356736624124;-0.00432755232775621
25.08.2023;25.08.;-0.264707398223069;-2.895962;2.730693;5.626655;NaN;NaN;NaN;0;-0.00914814133465672;-0.326392188558716;0.0621211642317082;0;0;0;0
07.09.2023;07.09.;-0.123384266658876;-2.855347;2.660013;5.515360;NaN;NaN;NaN;0;0.00821065140089804;0;0.00838201596725974;0.017809130931927;-0.000493162345544098;0.111461733340523;-0.00404717003538887
25.09.2023;25.09.;-0.0998933589267388;-2.968686;2.711487;5.680173;NaN;NaN;NaN;0;0.00643701347090438;-0.0178712260931499;0.0349252307430123;0;0;0;0
09.10.2023;09.10.;0.258894144914926;-2.011723;2.421710;4.433433;NaN;NaN;NaN;0;0.19897558549403;0;-0.0398780724691636;0.0433318423041097;-0.0241685169078943;0.160595420606768;0.0199312062082954
25.10.2023;25.10.;0.133873752886564;-2.111941;2.530099;4.642039;NaN;NaN;NaN;0;-0.0337777987193788;-0.0735187630507825;-0.0177238937529874;0;0;0;0
07.11.2023;07.11.;-0.0216494707797953;-2.398156;2.197166;4.595322;NaN;NaN;NaN;-0.030911308151095;-0.0406180295990845;0;-0.182303979281286;-0.0168634072894846;0.0439789243395167;-0.0374854191073411;0.108680193251867
24.11.2023;24.11.;0.0517310351155657;-2.012777;2.277714;4.290491;NaN;NaN;NaN;0;0.00242801875041916;-0.0102419833920886;0.0811944687561272;0;0;0;0
07.12.2023;07.12.;-0.290614742754258;-2.157237;1.463522;3.620758;NaN;NaN;NaN;0;-0.0986389367440371;0;0.0192618940327582;-0.0541396891326876;-0.0877682081898307;-0.127634230372117;0.00657330064888971
18.12.2023;18.12.;-0.529540186957091;-2.254022;1.232601;3.486623;NaN;NaN;NaN;0;-0.00857516236866805;-0.199853289306345;-0.0304968914928882;0;0;0;0
09.01.2024;09.01.;-0.317009080056834;-2.072268;1.445286;3.517554;NaN;NaN;NaN;0;-0.0446125115933708;0;0.0589789250497836;-0.0210311292281674;0.112666776952306;0.018168054732206;0.0883606087373862
25.01.2024;25.01.;-0.364498382633416;-2.033473;1.292322;3.325796;-0.287064;-0.287064;NaN;0;-0.00865669601283852;0.0112913309855543;-0.0501239123614066;0;0;0;0
