Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
09.08.2021;09.08.;0.396376836;-2.738806863;3.56404707;6.302853933;NaN;NaN;NaN;0.013474046;-0.05080959;0;0.025236393;-0.026340182;0.000418477;0.021522286;-0.066597595
25.08.2021;25.08.;-0.002455555;-2.865799462;3.072683975;5.938483437;NaN;NaN;NaN;0;0.032224617;-0.41344014;-0.017616672;0;0;0;0
09.09.2021;09.09.;-0.013200848;-2.983931495;2.775288852;5.759220348;NaN;NaN;NaN;0;-0.023649062;0.011159705;0.035730602;0.01280056;0.037009286;-0.008790953;-0.075005241
24.09.2021;24.09.;-0.04487048;-2.664528669;2.91780052;5.582329189;NaN;NaN;NaN;0;-0.011223282;0.000950098;-0.021395977;0;0;0;0
08.10.2021;08.10.;-0.925103332;-3.465986255;1.733365564;5.19935182;NaN;NaN;NaN;0;-0.520720713;0;-0.006130265;-0.217800802;0.056403182;-0.173896488;-0.018087539
25.10.2021;25.10.;-1.197062667;-3.861257147;1.232305398;5.093562544;NaN;NaN;NaN;0;0.021775529;-0.309125241;0.015390315;0;0;0;0
09.11.2021;09.11.;-1.315789891;-3.596208733;1.075493274;4.671702008;NaN;NaN;NaN;-0.187605012;-0.013754409;0;-0.007825798;-0.017397585;0.089463346;-0.035136573;0.053529034
24.11.2021;24.11.;-1.319107552;-3.748917073;1.261436868;5.010353941;NaN;NaN;NaN;0;6.13E-05;-0.001257426;-0.002121284;0;0;0;0
25.11.2021;25.11.;-1.311227442;-3.766877889;1.10148627;4.868364159;NaN;NaN;NaN;0;0;0;0.015116813;0;-0.007236723;0;0
09.12.2021;09.12.;-0.24627924;-2.325073915;1.876770242;4.201844157;NaN;NaN;NaN;0;0.583479822;-0.065008439;0.021171034;0.224701552;0.378112682;-0.114962553;0.037453047
17.12.2021;17.12.;-0.108560448;-2.220233445;1.937037724;4.157271169;NaN;NaN;NaN;0;0;0.014949381;0.122769388;0;0;0;0
07.01.2022;07.01.;0.20394991;-1.864534221;2.163536157;4.028070378;NaN;NaN;NaN;0;0.115931973;0;0.012775725;-0.002134189;0.164054993;-0.042400826;0.064283851
25.01.2022;25.01.;0.152723261;-1.846876682;2.245182437;4.092059119;-0.731982;-0.34719;NaN;0;0.005188453;-0.011139892;-0.04527562;0;0;0;0
