Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.02.2023;07.02.;0.02423657;-2.8529996;2.905755623;5.758755223;NaN;NaN;NaN;-0.014990693;-0.057715739;-0.048247893;-0.046795167;-0.036333835;0.05636717;0.012589188;-0.019638452
22.02.2023;22.02.;0.19110651;-2.487509029;3.116461554;5.603970583;NaN;NaN;NaN;0;0.011961791;0.193456007;-0.038547794;0;0;0;0
08.03.2023;08.03.;0.15033548;-2.852828523;2.736206147;5.58903467;NaN;NaN;NaN;0;0.008082509;0;0.024563829;-0.068670971;0.049388441;0.024872005;-0.077799655
27.03.2023;27.03.;0.191344372;-2.616621123;2.814032589;5.430653712;NaN;NaN;NaN;0;-0.008792284;0.024366523;-0.013829322;0;0.039263567;0;0
06.04.2023;06.04.;0.551507251;-2.135374119;3.178785615;5.314159733;NaN;NaN;NaN;0;0.023314838;0;-0.007914183;0.216902037;0.106662041;0.0839751;-0.062776848
24.04.2023;24.04.;0.78600937;-1.645637655;3.209963591;4.855601245;NaN;NaN;NaN;0;-0.020907142;0.21625797;0.039152158;0;0;0;0
08.05.2023;08.05.;0.320131004;-1.936399414;2.777609954;4.714009368;NaN;NaN;NaN;0.081506754;-0.13465734;0;-0.077432851;-0.037899978;-0.03960227;-0.175173699;-0.082619288
24.05.2023;24.05.;-0.160494545;-2.353247235;2.1177562;4.471003435;NaN;NaN;NaN;0;-9.72E-05;-0.469309436;-0.011219329;0;0;0;0
25.05.2023;25.05.;-0.09597115;-2.452328056;2.066751525;4.519079581;NaN;NaN;NaN;0;0;0;0.015448625;0;0.049075593;0;0
07.06.2023;07.06.;-0.318864405;-2.297279578;1.661322049;3.958601627;NaN;NaN;NaN;0;-0.165397908;0;-0.011879453;0.055952545;-0.065999704;-0.042224837;0.006656105
26.06.2023;26.06.;-0.841724651;-2.567016432;1.13978332;3.706799752;NaN;NaN;NaN;0;-0.007344797;-0.367100634;-0.008347381;0;-0.140067316;0;0
07.07.2023;07.07.;-0.284387093;-2.220274427;1.524018835;3.744293262;NaN;NaN;NaN;0;0.147715726;0;0.160261475;0.035283121;0.041128298;0.134252813;0.038695568
25.07.2023;25.07.;-0.289155766;-2.082080472;1.398505043;3.480585515;0.01856;0.01856;NaN;0;0.023241962;-0.048341083;0.045087199;0;-0.02475683;0;0
