Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"07.02.2024";"07.02.";0.289430317;-2.620705872;3.145290862;5.765996734;NaN;NaN;NaN;0.002860009;0.011909146;0;-0.016228898;-0.009775483;0.004767634;0.02353727;0.002620788
"26.02.2024";"26.02.";0.166150888;-2.541773732;2.976405109;5.518178841;NaN;NaN;NaN;0;0.002316641;-0.140067703;0.012456602;0;0.002014989;0;0
"08.03.2024";"08.03.";0.162746777;-2.665301907;2.935462438;5.600764345;NaN;NaN;NaN;0;0.085956323;0;0.007443388;-0.009365889;-0.047890266;0.092183525;-0.131975328
"22.03.2024";"22.03.";0.292297861;-2.472670305;3.085812722;5.558483027;NaN;NaN;NaN;0;-0.053036723;0.146991403;0.035596213;0;0;0;0
"08.04.2024";"08.04.";0.846352552;-1.663642682;3.578064809;5.241707491;NaN;NaN;NaN;0;0.143653487;0;0.157143535;0.242814071;0.087267101;-0.059467887;-0.017355054
"24.04.2024";"24.04.";0.968483929;-1.536104719;3.20857486;4.744679579;NaN;NaN;NaN;0;0.035121891;0.094363016;-0.00735375;0;0;0;0
"08.05.2024";"08.05.";0.478888333;-1.844080739;2.661379782;4.505460521;NaN;NaN;NaN;-0.018032794;-0.03271127;0;-0.275791047;0.003995448;0.05271265;-0.086800586;-0.132967781
"27.05.2024";"27.05.";0.758714587;-1.451022392;2.836729784;4.287752176;NaN;NaN;NaN;0;0.001413374;0.225137462;0.080575744;0;-0.027300338;0;0
"07.06.2024";"07.06.";0.374912587;-1.490551233;2.22446692;3.715018153;NaN;NaN;NaN;0;-0.237826743;0;-0.016919646;-0.029130627;0.072992618;-0.157094056;-0.015823587
"24.06.2024";"24.06.";0.069474974;-1.796961043;1.731915613;3.528876656;NaN;NaN;NaN;0;0.086678219;-0.31839011;-0.073725716;0;0;0;0
"05.07.2024";"05.07.";-0.091427738;-1.870145767;1.645829595;3.515975362;NaN;NaN;NaN;0;-0.060854327;0;-0.025529769;-0.079847108;0.068590298;-0.010431911;-0.052830189
"25.07.2024";"25.07.";-0.171762348;-1.948065326;1.444874024;3.39293935;-0.076161;-0.066762;NaN;0;0;-0.040250609;0.027810652;0;-0.067895014;0;0
