Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"06.05.2022";"06.05.";-0.09675724;-3.362799453;3.111071176;6.473870629;NaN;NaN;NaN;-0.023232525;-0.061641062;0;0.156742637;0.008414033;0.017056973;0.027342422;-0.044233405
"23.05.2022";"23.05.";-0.292376618;-3.567087628;2.621709652;6.188797281;NaN;NaN;NaN;0;0.005040184;0.042587446;-0.243247653;0;0;0;0
"08.06.2022";"08.06.";-0.391775379;-3.349421467;2.824311661;6.173733127;NaN;NaN;NaN;0;0.066592441;0;-0.133364249;0.011212149;-0.128596495;0.044959842;0.048968563
"24.06.2022";"24.06.";-0.475950986;-3.561376338;2.51453856;6.075914898;NaN;NaN;NaN;0;-0.000622646;-0.113278899;0.029725674;0;0;0;0
"07.07.2022";"07.07.";-0.027494332;-2.912691155;3.074309319;5.987000474;NaN;NaN;NaN;0;0.498426725;0;-0.054919674;-0.004062814;0.254589642;-0.212261809;-0.033314354
"25.07.2022";"25.07.";-0.892048434;-3.507245976;2.058022253;5.565268229;NaN;NaN;NaN;0;0.017139877;-0.873149247;-0.008544415;0;0;0;0
"05.08.2022";"05.08.";-0.976601842;-3.493185672;1.599347448;5.09253312;NaN;NaN;NaN;0.063089514;0.07872685;-0.039909449;-0.316044943;0.021303794;0.152256814;0.060708955;-0.104684129
"25.08.2022";"25.08.";-0.629827386;-2.997939271;1.692080884;4.690020155;NaN;NaN;NaN;0;0;-0.058680898;0.40545563;0;0;0;0
"07.09.2022";"07.09.";-0.277926312;-2.421630332;1.772279873;4.193910205;NaN;NaN;NaN;0;0.21170225;0;0.016867957;0.080429731;-0.017325968;-0.001033178;0.061260095
"26.09.2022";"26.09.";-0.570280063;-2.723880396;1.452256298;4.176136694;NaN;NaN;NaN;0;0.000284229;-0.332981814;0.075732322;0;-0.035388648;0;0
"07.10.2022";"07.10.";-0.469805312;-2.418944544;1.496227515;3.915172059;NaN;NaN;NaN;0;0.11174396;0;-0.016496329;0.004620924;0.058360643;-0.042569641;-0.015184557
"25.10.2022";"25.10.";-0.518524991;-2.30577852;1.513604674;3.819383194;0.269868;0.400149;NaN;0;-0.000564782;-0.05084528;0.002690168;0;0;0;0
