Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
08.05.2024;08.05.;0.111243163;-2.746437;2.832186;5.578623;NaN;NaN;NaN;0.004906615;-0.020581509;0;0.088046114;0.001429145;-0.015075645;-0.012481418;0.02378284
27.05.2024;27.05.;0.351209554;-2.297623;3.341759;5.639382;NaN;NaN;NaN;0;-0.02386565;0.33129094;-0.063485316;0;-0.003973452;0;0
07.06.2024;07.06.;0.462830296;-2.118843;3.341824;5.460668;NaN;NaN;NaN;0;0.092692414;0;0.010774573;0.010771607;-0.024942382;0.057385875;-0.035061463
24.06.2024;24.06.;0.099464955;-2.600327;2.775987;5.376314;NaN;NaN;NaN;0;-0.034541749;-0.265240006;-0.063583515;0;0;0;0
05.07.2024;05.07.;-0.575151841;-2.967742;1.783067;4.750809;NaN;NaN;NaN;0;-0.38898881;0;0.028827034;-0.206864174;-0.04829065;-0.017256098;-0.042043739
25.07.2024;25.07.;-0.95944538;-3.364082;1.242934;4.607016;NaN;NaN;NaN;0;0;-0.258432763;-0.037650922;0;-0.088209843;0;0
07.08.2024;07.08.;-0.579827082;-2.720787;1.699265;4.420052;NaN;NaN;NaN;-0.011620082;0.02799692;0;0.051791519;0.035447301;0.017362454;0.178254814;0.080385388
26.08.2024;26.08.;-0.559269386;-2.546226;1.670442;4.216668;NaN;NaN;NaN;0;0;-0.129589278;0.137982731;0;0.012164498;0;0
06.09.2024;06.09.;-0.87213747;-2.547382;0.966757;3.514140;NaN;NaN;NaN;0;-0.254329678;0;-0.018269344;-0.11213134;0.062855736;0.024752181;-0.015746159
24.09.2024;24.09.;-0.721292087;-2.448231;1.015115;3.463346;NaN;NaN;NaN;0;0.272483456;-0.164681504;-0.009168636;0;0.024901222;-0.048375662;0.075686821
08.10.2024;08.10.;-0.685278514;-2.441094;1.109931;3.551025;NaN;NaN;NaN;0;0;0;-0.02545828;0.061471782;0;0;0
25.10.2024;25.10.;-0.646390324;-2.365573;1.043427;3.409000;0.181731;0.105213;NaN;0;-0.020441615;0.005601978;-0.00107851;0;0.006855395;0;0
