Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
08.05.2025;08.05.;0.415815534;-2.207911747;2.892845486;5.100757234;NaN;NaN;;-0.004150626;0.00978035;0;-0.038560795;0.002537102;-0.021314919;0.000328034;-0.024252324
22.05.2025;22.05.;0.791995474;-1.711984447;3.468235941;5.180220389;NaN;NaN;;0;-0.015506567;0.395289144;-0.003602699;0;0;0;0
23.05.2025;23.05.;0.788120887;-1.78438839;3.294325933;5.078714323;NaN;NaN;;0;0;0;-0.003898976;0;2.45E-05;0;0
06.06.2025;06.06.;0.597740902;-1.998877584;3.094407223;5.093284807;NaN;NaN;;0;0.042215796;0;0.009492278;0.008953123;0.004633205;-0.028579416;-0.227094809
24.06.2025;24.06.;0.620527487;-1.924794099;3.066708688;4.991502787;NaN;NaN;;0;-0.024602356;-0.009369464;0.0567584;0;0;0;0
07.07.2025;07.07.;0.241887844;-2.283705949;2.572876821;4.85658277;NaN;NaN;;0;-0.359281278;0;-0.030909009;0.04210975;0.060686736;-0.076863624;-0.014382049
25.07.2025;25.07.;0.331651578;-1.915845863;2.43335336;4.349199222;NaN;NaN;;0;-0.031022911;0.135574054;0.051341915;0;-0.066129492;0;0
07.08.2025;07.08.;0.154182215;-2.039441293;2.279584266;4.319025559;NaN;NaN;;-0.006027846;0.021982771;0;-0.083418259;-0.036931148;0.020215594;-0.002183526;-0.09110665
22.08.2025;22.08.;0.166899468;-2.030090251;2.252685682;4.282775933;NaN;NaN;;0;0.006430574;-0.009811187;0.016097876;0;0;0;0
25.08.2025;25.08.;0.042359665;-1.878422685;2.241021913;4.119444598;NaN;NaN;;0;0;-0.095558346;-0.028981494;0;0;0;0
08.09.2025;08.09.;0.266698307;-1.425407131;2.024970498;3.450377629;NaN;NaN;;0;0.129801697;0;0.114917398;0.07090633;-0.020768618;-0.127539097;0.057021151
24.09.2025;24.09.;;;;;;;;;;;;;;;
08.10.2025;08.10.;;;;;;;;;;;;;;;
27.10.2025;27.10.;;;;;;;;;;;;;;;
