Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
"07.08.2024";"07.08.";0.460117375;-2.459760543;3.261822834;5.721583377;NaN;NaN;NaN;0.003245308;0.030539334;0;-0.019203636;0.014230359;-0.03539745;0.031482151;-0.015351956
"26.08.2024";"26.08.";0.262092024;-2.290424079;2.927847435;5.218271514;NaN;NaN;NaN;0;0;-0.254446935;0.056256971;0;0.000164605;0;0
"06.09.2024";"06.09.";0.329944193;-2.335820032;2.689515762;5.025335795;NaN;NaN;NaN;0;0.073516615;0;0.010882632;0.032354481;-0.017691682;-0.007648986;-0.023560676
"07.10.2024";"07.10.";0.744720304;-1.699547202;3.007137642;4.706684844;NaN;NaN;NaN;0;0.522237237;-0.140867961;0.052252075;0;-0.015635583;-0.074262917;0.071052936
"08.10.2024";"08.10.";0.867075369;-1.542764635;3.128128977;4.670893612;NaN;NaN;NaN;0;0;0;0.019177843;0.103177427;0;0;0
"25.10.2024";"25.10.";0.866044112;-1.524539067;2.965797525;4.490336593;NaN;NaN;NaN;0;-0.030759419;0.026691281;0.010308635;0;0.011903881;0;0
"07.11.2024";"07.11.";0.797172003;-1.398739155;3.001609842;4.400348997;NaN;NaN;NaN;-0.061872059;-0.029697188;0;-0.029257962;-0.034348991;0.027705711;-0.034382058;0.09276302
"22.11.2024";"22.11.";0.831182878;-1.359484878;3.026266528;4.385751405;NaN;NaN;NaN;0;0.001596203;0.027615856;0.004798816;0;0;0;0
"25.11.2024";"25.11.";0.727739319;-1.54136279;2.69588917;4.23725196;NaN;NaN;NaN;0;0;-0.070436849;-0.033006659;0;0;0;0
"06.12.2024";"06.12.";0.135411462;-1.732720858;1.828296989;3.561017848;NaN;NaN;NaN;0;-0.441637357;0;0.054744247;-0.137752895;-0.000220595;0.01890883;-0.086369935
"17.12.2024";"17.12.";-0.283132668;-2.045751442;1.389847348;3.43559879;NaN;NaN;NaN;0;-0.008180428;-0.299610159;-0.002630487;0;-0.108123915;0;0
"09.01.2025";"09.01.";0.167181996;-1.579893579;1.700517654;3.280411232;NaN;NaN;NaN;0;0.121385102;0.021378687;0.046201061;0.064310486;0.036611962;0.018494098;0.141933255
"27.01.2025";"27.01.";0.278365875;-1.376530478;1.971786876;3.348317354;-0.20065;-0.20065;NaN;0;0.002620938;0.053847367;0.044609641;0;0.010105917;0;0
