Datum;Datum-x;BIP-Prognose;5%-Dezil;95%-Dezil;Delta-Dezil;BIP-Schnellmeldung (T+45);BIP-Detailmeldung (T+55);tmp;Volkswirtschaftliche Gesamtrechnungen;Umsätze;Umfragen;Revisionen;Produktion;International;Aufträge;Arbeitsmarkt
07.05.2021;07.05.;0.317423237;-2.491019004;3.492430035;5.983449039;NaN;NaN;NaN;-0.063887919;0.030977097;0;0.009383498;-0.012802096;0.000470148;0.003820659;-0.020853635
25.05.2021;25.05.;0.529751189;-2.326567445;3.482707012;5.809274457;NaN;NaN;NaN;0;0.001120072;0.158569018;0.052638902;0;0;0;0
09.06.2021;09.06.;1.013692002;-1.815428467;3.935596227;5.751024694;NaN;NaN;NaN;0;0.193646642;0.031965673;0.033124153;0.051652188;0.028419203;0.040513709;0.104619283
24.06.2021;24.06.;1.31304446;-1.495624455;4.351346234;5.846970689;NaN;NaN;NaN;0;0.004207988;0.283760472;0.011383848;0;0;0;0
08.07.2021;08.07.;0.587776127;-2.075411407;3.199822914;5.275234322;NaN;NaN;NaN;0;-0.344894506;-0.071036608;-0.069748985;-0.066314274;-0.054676556;-0.184765815;0.066168286
26.07.2021;26.07.;0.524178934;-1.960666106;2.842753202;4.803419308;NaN;NaN;NaN;0;0.032488614;0.034949678;-0.029819565;0;-0.101215936;0;0
09.08.2021;09.08.;0.894591536;-1.546628648;3.445700647;4.992329296;NaN;NaN;NaN;-0.037735577;-0.074373085;0;0.003677063;-0.04895137;0.000956157;0.09069461;0.430260267
25.08.2021;25.08.;0.51441805;-1.818249062;2.817872389;4.636121452;NaN;NaN;NaN;0;0.004318878;-0.318451033;-0.066041576;0;0;0;0
09.09.2021;09.09.;0.347602564;-1.642769357;2.288704655;3.931474011;NaN;NaN;NaN;0;0.061773047;0.015271911;-0.057914567;-0.0417386;-0.133130814;0.023518495;-0.034594956
24.09.2021;24.09.;0.403626823;-1.684325445;2.219925904;3.904251349;NaN;NaN;NaN;0;0.027925877;-0.000757688;0.028856605;0;0;0;0
08.10.2021;08.10.;-0.063139434;-1.947961448;1.846497367;3.794458815;NaN;NaN;NaN;0;-0.217037304;0;0.054236378;-0.076219649;-0.128407443;-0.076124882;-0.023213949
25.10.2021;25.10.;-0.051445859;-1.970038177;1.964229018;3.934267195;1.782463;1.694266;NaN;0;-0.002120348;0.027656084;-0.013841461;0;0;0;0
